Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	Mef2c	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000005583	ENSMUST00000005722|ENSMUST00000196730|ENSMUST00000200138|ENSMUST00000198069|ENSMUST00000197938|ENSMUST00000198199|ENSMUST00000195904|ENSMUST00000199210|ENSMUST00000200394|ENSMUST00000199019|ENSMUST00000199432|ENSMUST00000200123|ENSMUST00000196832|ENSMUST00000198217|ENSMUST00000199262|ENSMUST00000197022|ENSMUST00000197722|ENSMUST00000199450|ENSMUST00000196207|ENSMUST00000163888|ENSMUST00000198360|ENSMUST00000198916|ENSMUST00000197146|ENSMUST00000198064|ENSMUST00000199105|ENSMUST00000185052|ENSMUST00000196493|ENSMUST00000197681|ENSMUST00000195984|ENSMUST00000199167|ENSMUST00000197145	NM_001347564|NM_001347568|NM_001347581|NM_001347567|NM_001347576|NM_001347574|NM_001347572|NM_001347580|NM_001347578|NM_001347579|NM_001347566|NM_001347573|NM_001347571|NM_001170537|NM_001347577|NM_025282|NM_001347575|NM_001347569	MEF2C		Regulation: DOWN
2	9330132O05Rik	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000041889	ENSMUST00000159918|ENSMUST00000041240|ENSMUST00000159181	NM_175259	SHISA4		Regulation: DOWN
3	Gpr81	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000049241	ENSMUST00000164267	NM_175520	HCAR1		Regulation: DOWN
4	Arhgef39	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000051517	ENSMUST00000156058|ENSMUST00000154905|ENSMUST00000136005|ENSMUST00000147124|ENSMUST00000054538|ENSMUST00000146781|ENSMUST00000128754|ENSMUST00000125834|ENSMUST00000129378|ENSMUST00000152134	NM_001013377	ARHGEF39	E130306D19Rik	Regulation: DOWN
5	Ak4	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000028527	ENSMUST00000133055|ENSMUST00000151561|ENSMUST00000102780|ENSMUST00000106946|ENSMUST00000106945|ENSMUST00000131397|ENSMUST00000155749	NM_001177602|NM_009647|NM_001177604|NM_001177605	AK4	Ak-4|D4Ertd274e|Ak-3|Ak3l1	Regulation: DOWN
6	Irf1	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000018899	ENSMUST00000140866|ENSMUST00000153054|ENSMUST00000108922|ENSMUST00000142221|ENSMUST00000108920|ENSMUST00000138913|ENSMUST00000123376|ENSMUST00000128336|ENSMUST00000133291|ENSMUST00000019043	NM_001159396|NM_001159393|NM_008390	IRF1	Irf-1	Regulation: DOWN
7	A530020H22Rik	1	1_marpiech_tissues_dex	marpiech_tissues_dex						Regulation: DOWN
8	Clec7a	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000079293	ENSMUST00000184581|ENSMUST00000184861|ENSMUST00000195589	NM_001309637	CLEC7A	dectin-1|BGR|beta-GR|beta-glucan receptor|Clecsf12	Regulation: DOWN
9	Rnf144a	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000020642	ENSMUST00000020971|ENSMUST00000220742|ENSMUST00000062149|ENSMUST00000221994|ENSMUST00000222505|ENSMUST00000223137|ENSMUST00000222082	NM_080563|NM_001081977	RNF144A	UIP4|Rnf144	Regulation: DOWN
10	Mup6	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000078689	ENSMUST00000107521|ENSMUST00000107520|ENSMUST00000107517	NM_001081285		Gm12544	Regulation: UP
11	Chst15	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000030930	ENSMUST00000080215|ENSMUST00000207068|ENSMUST00000077472|ENSMUST00000132508	NM_001360768|NM_029935	CHST15	GalNAcS-6ST|4631426J05Rik|MAd5|MAd5	Regulation: UP
12	Sox4	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000076431	ENSMUST00000067230	NM_009238	SOX4	Sox-4	Regulation: UP
13	Limk2	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000020451	ENSMUST00000101642|ENSMUST00000110029|ENSMUST00000148091|ENSMUST00000101638|ENSMUST00000145223|ENSMUST00000147344|ENSMUST00000148771|ENSMUST00000101640|ENSMUST00000123689|ENSMUST00000132479|ENSMUST00000125832|ENSMUST00000142926|ENSMUST00000134576	NM_010718|NM_001402860|NM_173053|NM_001361623|NM_001402864|NM_001034030	LIMK2	Limk2b|Limk2a|A930024P04Rik|LIM kinase 2|whe	Regulation: UP
14	Apoa1	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000032083	ENSMUST00000034588|ENSMUST00000132155	NM_009692	APOA1	Alp-1|Apoa-1|Sep-1|Brp-14|Lvtw-1|Sep-2|Sep2|Ltw-1	Regulation: UP
15	D030063E12	1	1_marpiech_tissues_dex	marpiech_tissues_dex						Regulation: UP
16	Dusp14	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000018648	ENSMUST00000108101|ENSMUST00000100705|ENSMUST00000018792|ENSMUST00000164891|ENSMUST00000138208	NM_001408744|NM_001408745|NM_001408746|NM_019819|NM_001408743	DUSP14	MKP-L|Mkp6|2310042C07Rik|D11Ertd395e|1110014C10Rik	Regulation: UP
17	Fam129b	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000026796	ENSMUST00000150875|ENSMUST00000151607|ENSMUST00000028135|ENSMUST00000154514|ENSMUST00000138781|ENSMUST00000125347	NM_146119	NIBAN2		Regulation: UP
18	Mdm1	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000020212	ENSMUST00000218400|ENSMUST00000217767|ENSMUST00000163238|ENSMUST00000218011|ENSMUST00000219087|ENSMUST00000020437|ENSMUST00000219605|ENSMUST00000164077|ENSMUST00000169817|ENSMUST00000219827	NM_148922|NM_010785|NM_001162904|NM_001162905	MDM1	Mdm-1	Regulation: UP
19	Sox17	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000025902	ENSMUST00000191647|ENSMUST00000116652|ENSMUST00000195555|ENSMUST00000192913|ENSMUST00000192650|ENSMUST00000192505|ENSMUST00000191939|ENSMUST00000027035	NM_001289465|NM_001289467|NM_011441|NM_001289464|NM_001289466	SOX17		Regulation: UP
20	Cebpb	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000056501	ENSMUST00000070642	NM_009883|NM_001287739|NM_001287738	CEBPB	NF-IL6|C/EBP BETA|NF-M|CRP2|LAP|IL-6DBP|Nfil6|C/EBPbeta|LIP	Regulation: UP
21	2410002F23Rik	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000045411	ENSMUST00000084937|ENSMUST00000186606|ENSMUST00000188476|ENSMUST00000107950|ENSMUST00000107949|ENSMUST00000191537|ENSMUST00000146155|ENSMUST00000145653|ENSMUST00000138978|ENSMUST00000071296|ENSMUST00000185481|ENSMUST00000055858|ENSMUST00000188382|ENSMUST00000136210|ENSMUST00000188111|ENSMUST00000144905|ENSMUST00000137702|ENSMUST00000187524|ENSMUST00000107948|ENSMUST00000187581	NM_025880			Regulation: UP
22	Fam117b	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000041040	ENSMUST00000189790|ENSMUST00000036540|ENSMUST00000151630	NM_001037725	FAM117B	6330416D14Rik|2810425F24Rik|Als2cr13	Regulation: UP
23	Ddit4	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000020108	ENSMUST00000020308	NM_029083	DDIT4	Dig2|REDD1|Rtp801|5830413E08Rik	Regulation: UP
24	D14Ertd668e	1	1_marpiech_tissues_dex	marpiech_tissues_dex	ENSMUSG00000068245	ENSMUST00000161031|ENSMUST00000095157|ENSMUST00000161754|ENSMUST00000160425	NM_199015	PHF11		Regulation: UP
